GRvalue,agent,cell_count,cell_count__ctrl,cell_count__time0,cell_line,concentration,timepoint,receptor_status,color_map
1.001262588,BJP-6-5-3,,,,HCC1954,3.16227766,72,HER2amp,#4dab9b
0.9652063340000001,BJP-6-5-3,,,,HCC1954,10.0,72,HER2amp,#4dab9b
1.033076442,BJP-6-5-3,,,,HCC70,0.01,72,TNBC,#ca7832
1.079027433,BJP-6-5-3,,,,HCC70,0.031622777000000005,72,TNBC,#ca7832
0.94966367,BJP-6-5-3,,,,HCC70,0.1,72,TNBC,#ca7832
1.060609511,BJP-6-5-3,,,,HCC70,0.316227766,72,TNBC,#ca7832
1.053858194,BJP-6-5-3,,,,HCC70,1.0,72,TNBC,#ca7832
1.02316893,BJP-6-5-3,,,,HCC70,3.16227766,72,TNBC,#ca7832
1.106267731,BJP-6-5-3,,,,HCC70,10.0,72,TNBC,#ca7832
1.01676047,BJP-6-5-3,,,,MCF10A,0.01,72,NM,#c85f61
1.015603611,BJP-6-5-3,,,,MCF10A,0.031622777000000005,72,NM,#c85f61
1.015041936,BJP-6-5-3,,,,MCF10A,0.1,72,NM,#c85f61
1.004776032,BJP-6-5-3,,,,MCF10A,0.316227766,72,NM,#c85f61
0.996449171,BJP-6-5-3,,,,MCF10A,1.0,72,NM,#c85f61
1.004089719,BJP-6-5-3,,,,MCF10A,3.16227766,72,NM,#c85f61
1.038901195,BJP-6-5-3,,,,MCF10A,10.0,72,NM,#c85f61
0.973933387,BJP-6-5-3,,,,MDAMB231,0.01,72,TNBC,#ca7832
0.999211141,BJP-6-5-3,,,,MDAMB231,0.031622777000000005,72,TNBC,#ca7832
1.0078058890000001,BJP-6-5-3,,,,MDAMB231,0.1,72,TNBC,#ca7832
1.023728052,BJP-6-5-3,,,,MDAMB231,0.316227766,72,TNBC,#ca7832
0.9994474059999999,BJP-6-5-3,,,,MDAMB231,1.0,72,TNBC,#ca7832
1.011717665,BJP-6-5-3,,,,MDAMB231,3.16227766,72,TNBC,#ca7832
0.9029653609999999,BJP-6-5-3,,,,MDAMB231,10.0,72,TNBC,#ca7832
